data_ref_safra,seller_id,uf,tot_orders_12m,tot_items_12m,tot_items_dist_12m,receita_12m,recencia,nao_revendeu_next_6m
2018-01-01,17eea220a40cc0d2c0c5346379682398,SP,3,3,2,875.98,92,1
2018-01-01,17f51e7198701186712e53a39c564617,SP,40,44,22,34760.0,16,0
2018-01-01,180c3376aff0e43dd5788709df48a843,SP,4,9,3,3133.0,79,0
2018-01-01,1835b56ce799e6a4dc4eddc053f04066,SP,134,173,65,9339.089999999976,1,0
2018-01-01,1838dd9b8977065acf51d95e0053ea7a,MG,19,19,9,877.0999999999997,9,0
2018-01-01,184a67a8f9f63234d3a92340bbdb727f,SC,6,7,5,179.18,53,1
2018-01-01,18a349e75d307f4b4cc646a691ed4216,SP,14,15,9,878.05,13,0
2018-01-01,1900267e848ceeba8fa32d80c1a5f5a8,SP,142,192,80,9462.509999999975,1,0
2018-01-01,191d55f7edb8524d525ed01b20fe32e8,DF,2,2,2,498.0,25,0
2018-01-01,1976a05ecf2996d6ffb7b5430e635fe7,SP,8,9,4,1796.1999999999998,108,1
2018-01-01,1987cd4be10fe09ee50454f9c354d1c6,MG,11,11,7,2277.7000000000003,5,0
2018-01-01,198c7ea11960a9844b544d9bcdca860c,MG,25,25,4,1733.7500000000002,131,1
2018-01-01,19a7c9f66ffa6452ff4b4c0cca71da27,PR,1,1,1,279.0,92,1
2018-01-01,19e0f40a907ec568c34bfac15de4f4a1,SP,4,4,1,178.0,74,1
2018-01-01,1a3df491d1c4f1589fc2b934ada68bf2,SC,112,117,4,15523.999999999973,3,0
2018-01-01,1acde099eb406aa220b1169b188b42da,SP,9,10,9,311.1,53,1
2018-01-01,1b0b0f4f95e962d6f32fe90c759d0479,SP,1,1,1,69.9,30,1
2018-01-01,1b1ae47a313a825a7ccceb8e2e30fa9d,PR,7,7,3,1119.3,29,0
2018-01-01,1b4c3a6f53068f0b6944d2d005c9fc89,SC,70,74,21,9630.989999999989,2,0
2018-01-01,1b61fb1f0f2185d89e9a126c498e9cc7,PR,1,1,1,49.7,191,1
2018-01-01,1b7e5006cb25dd23ce8686691013b121,SP,3,3,3,298.98,5,0
2018-01-01,1b8356dabde1d35e17cef975c3f82730,SP,55,60,14,3366.399999999995,47,1
2018-01-01,1b8b75e227c9a9c100d0c210fb6176ce,SP,15,15,11,1444.8700000000001,31,1
2018-01-01,1b938a7ec6ac5061a66a3766e0e75f90,SP,15,17,4,1041.2999999999997,17,0
2018-01-01,1bb2bdb95f4841f1bba2c0d2cd83d3c9,SP,18,18,9,1601.87,9,0
2018-01-01,1bb3812d5f0747a3ab7348f199001a10,SP,3,3,3,370.70000000000005,2,0
2018-01-01,1bc2e21de46adfea6b98cc96b00f3b40,SC,3,5,2,1039.95,227,1
2018-01-01,1c129092bf23f28a5930387c980c0dfc,SP,86,95,7,4110.120000000004,1,0
2018-01-01,1c5e4e49b9079480255b49d50aac1aa9,SP,8,8,5,7093.01,25,0
2018-01-01,1c68394e931a64f90ea236c5ea590300,PR,47,59,23,9855.239999999998,10,0
2018-01-01,1c83418358f249c9d6affa52d579db0e,SP,1,1,1,24.9,246,1
2018-01-01,1ca7077d890b907f89be8c954a02686a,SP,50,55,9,5440.959999999999,0,0
2018-01-01,1caf283236cd69af44cbc09a0a1e7d32,RJ,21,23,14,525.5400000000001,29,0
2018-01-01,1ce3ae5a399804d1a87e706f8a813c3e,SC,14,16,10,903.3999999999997,18,0
2018-01-01,1d0997ff06b524ce9289ffd75114ecd3,PE,3,3,3,3747.0,37,1
2018-01-01,1d139e3a3b14025640d8df1b230aace0,SP,2,2,2,36.49,42,1
2018-01-01,1d2732ef8321502ee8488e8bed1ab8cd,RJ,2,2,2,827.0,223,0
2018-01-01,1d29dfba02015238dfbe2449a5eaa361,MG,5,5,3,247.5,4,0
2018-01-01,1d4587203296c8f4ad134dc286fa6db0,SP,3,3,3,193.70000000000002,9,0
2018-01-01,1d8dbc4f32378d715c717c1c1fc57bae,PR,58,63,23,7391.399999999996,6,0
2018-01-01,1da366cade6d8276e7d8beea7af5d4bf,MG,42,48,14,6348.589999999998,10,1
2018-01-01,1da3aeb70d7989d1e6d9b0e887f97c23,SP,120,155,82,4672.589999999984,5,0
2018-01-01,1dcfa3835714681d4ba4a93bc1e0fd41,SP,12,14,4,1186.6,17,1
2018-01-01,1dd33b8119b3cb1056ed5dc88cd0aaf4,SP,5,5,2,916.0,3,0
2018-01-01,1dfe5347016252a7884b694d4f10f5c4,SP,15,18,12,1145.4,15,0
2018-01-01,1e47d8b6546eb3a77b1acddcc9406242,SP,1,1,1,149.9,230,1
2018-01-01,1e47defeeadeca0e9a18fa5a9311e735,SP,3,3,3,234.12,165,1
2018-01-01,1e483cc5c76fef08d3ca05f9a8af7d01,SP,9,10,3,166.09,227,1
2018-01-01,1e8b33f18b4f7598d87f5cbee2282cc2,SP,8,8,6,787.4,7,0
2018-01-01,1eade46fba20122dc4aefb379f8c636b,SP,16,25,5,926.3000000000002,2,0
2018-01-01,1f1bb1f0859883505541bdd6606193e5,SP,15,16,12,7801.8899999999985,13,0
2018-01-01,1f50f920176fa81dab994f9023523100,SP,778,1064,6,60781.79000000071,0,0
2018-01-01,1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,RS,2,2,1,316.8,140,0
2018-01-01,1f867308a0ce13133a4e639ff4de0c02,PR,2,5,2,268.62,29,0
2018-01-01,1f9ab4708f3056ede07124aad39a2554,SP,29,29,5,5167.729999999999,18,0
2018-01-01,1fdc574883ef3b33ad41562d93f3a74a,SP,4,4,4,1010.0,4,0
2018-01-01,1fe61aa5494bd3ae92a2c13e067c810f,SC,1,2,1,537.76,34,1
2018-01-01,2009a095de2a2a41626f6c6d7722678d,SP,8,12,4,388.88999999999993,61,1
2018-01-01,2059c39f76271d4ca3f15b5ffaccc8b8,PR,12,12,2,604.8999999999999,115,1
2018-01-01,2063dd1b9f568df1c16741ea7d3e6adb,PR,3,3,3,763.0999999999999,46,1
2018-01-01,2089a6d640999f9b9141ac719b2af596,SP,21,21,14,5189.919999999999,17,0
2018-01-01,20b54c376b794ed028df09a3cd88e8dc,SP,2,2,1,339.52,101,0
